03/01/2020,ABQ,31,38,23,4.63
03/01/2020,CAO,31,46,15,5.06
03/01/2020,ROW,27,36,17,1.8
03/01/2020,ALB,33,38,28,6.23
03/01/2020,BGM,25,30,21,8.86
03/01/2020,BUF,29,34,23,13.73
03/01/2020,GFL,33,37,29,7.3
03/01/2020,ISP,37,44,30,8.63
03/01/2020,LGA,40,43,35,11.7
03/01/2020,ROC,28,34,22,11.23
03/01/2020,SYR,29,34,23,11.5
03/01/2020,AVL,39,46,30,10.16
03/01/2020,HSE,50,56,44,4.43
03/01/2020,CLT,43,53,33,2.3
03/01/2020,GSO,41,51,31,4.2
03/01/2020,HKY,43,53,32,2.36
03/01/2020,RDU,43,52,35,1.86
03/01/2020,ILM,48,56,40,5.03
03/01/2020,BIS,21,30,12,7.9
03/01/2020,DIK,20,30,9,10.76
03/01/2020,FAR,20,28,12,7.8
03/01/2020,GFK,19,28,10,9.46
03/01/2020,ISN,21,26,9,8.1
03/01/2020,CAK,29,32,25,11.4
03/01/2020,CLE,29,32,26,12.43
03/01/2020,CMH,31,35,26,8.53
03/01/2020,DAY,30,35,24,11.93
03/01/2020,MFD,27,31,23,11.46
03/01/2020,TOL,29,31,25,12.7
03/01/2020,YNG,28,32,24,11.23
03/01/2020,GAG,33,47,18,5.46
03/01/2020,OKC,35,46,24,7.16
03/01/2020,PNC,33,47,20,3.96
03/01/2020,TUL,36,48,24,5.1
03/01/2020,AST,36,42,30,9.46
03/01/2020,BNO,7,21,-6,3.5
03/01/2020,EUG,30,36,23,7.86
03/01/2020,MFR,34,43,24,3.4
03/01/2020,PDT,19,20,17,4
03/01/2020,PDX,32,35,29,19.93
03/01/2020,RDM,15,24,6,2.8
03/01/2020,SLE,32,38,25,7.13
03/01/2020,ABE,34,41,25,8.3
03/01/2020,ERI,29,33,26,13.96
03/01/2020,MDT,36,43,29,8.8
03/01/2020,PHL,39,45,31,8.3
03/01/2020,PIT,31,35,27,9.53
03/01/2020,AVP,32,35,28,9.13
03/01/2020,IPT,31,35,25,7.83
03/01/2020,SJU,77,83,71,5.9
03/01/2020,PVD,36,43,28,7.36
03/01/2020,AND,45,54,35,1.13
03/01/2020,CHS,53,61,45,3.86
03/01/2020,CAE,49,57,40,2.3
03/01/2020,GSP,45,55,35,2.53
03/01/2020,ABR,18,29,7,6.16
03/01/2020,HON,18,26,9,8.4
03/01/2020,PIR,22,29,15,10.5
03/01/2020,RAP,24,37,11,3.26
03/01/2020,FSD,18,26,9,7.2
03/01/2020,TRI,34,44,24,3.93
03/01/2020,CHA,40,48,31,3.6
03/01/2020,CKV,37,47,27,5.66
03/01/2020,CSV,34,44,24,4.23
03/01/2020,TYS,36,45,27,2.5
03/01/2020,MEM,40,51,29,3.53
03/01/2020,BNA,39,50,28,3.73
03/01/2020,OQT,37,47,27,0.5
03/01/2020,ABI,41,47,34,5.76
03/01/2020,AMA,34,45,22,4.73
03/01/2020,AUS,46,53,40,8
03/01/2020,ATT,47,52,42,4.1
03/01/2020,BPT,48,53,43,9.56
03/01/2020,BRO,47,50,42,13.2
03/01/2020,CDS,38,47,29,4.63
03/01/2020,CLL,48,53,43,7.73
03/01/2020,CRP,47,51,42,13.03
03/01/2020,DHT,35,50,19,4.23
03/01/2020,DAL,44,51,36,4.9
03/01/2020,DFW,46,53,38,6.73
03/01/2020,DRT,47,51,42,3.16
03/01/2020,ELP,37,44,31,5
03/01/2020,FTW,44,52,36,5.93
03/01/2020,GLS,49,52,44,13.9
03/01/2020,HOU,50,54,45,9.56
03/01/2020,LBB,34,43,25,5.1
03/01/2020,MAF,37,43,31,6.4
03/01/2020,SJT,42,48,35,4.93
03/01/2020,SAT,47,52,41,6.2
03/01/2020,VCT,47,52,42,8.46
03/01/2020,ACT,45,51,39,6.26
03/01/2020,SPS,40,48,31,8.06
03/01/2020,SLC,15,24,7,1.6
03/01/2020,BCB,41,49,33,9.33
03/01/2020,BTV,31,35,26,6.5
03/01/2020,LYH,39,49,29,3.6
03/01/2020,ORF,45,51,39,4.7
03/01/2020,RIC,41,51,30,3.6
03/01/2020,ROA,41,49,33,9.33
03/01/2020,WAL,41,49,33,4.26
03/01/2020,DCA,41,49,33,4.83
03/01/2020,DEW,10,22,-2,6.2
03/01/2020,EPH,12,20,3,7.2
03/01/2020,OLM,26,37,14,0.5
03/01/2020,UIL,34,46,22,2.53
03/01/2020,SEA,35,42,28,4.96
03/01/2020,GEG,12,20,3,5.2
03/01/2020,YKM,16,24,8,3.2
03/01/2020,BKW,33,40,26,7.6
03/01/2020,CRW,37,43,31,7.23
03/01/2020,EKN,32,38,27,5.26
03/01/2020,HTS,36,43,28,6.23
03/01/2020,GRB,23,28,17,9.4
03/01/2020,LSE,25,32,17,8.16
03/01/2020,MSN,24,29,18,5.6
03/01/2020,MKE,26,30,21,10.96
03/01/2020,CPR,21,28,13,16.13
03/01/2020,CYS,23,38,7,8.33
03/01/2020,LND,11,21,0,0.43
03/01/2020,RWL,3,19,-13,1.9
03/01/2020,SHR,22,36,7,0.8
10/01/2020,BHM,44,52,36,6.55
